sum,max,min
1.55591115,0.29079,-0.277578
0.8991225,0.284685,-0.285671
-0.26410238,0.318384,-0.24598
1.80293971,0.319584,-0.244252
-0.37356231,0.215956,-0.321994
1.23746155,0.338707,-0.178157
1.053686,0.418204,-0.241241
0.1424954,0.268998,-0.322195
1.08627165,0.402682,-0.296733
-0.020180108,0.427461,-0.256027
1.1961795,0.357263,-0.2352
1.1104059,0.343447,-0.204402
-0.80707553,0.238376,-0.294581
-0.0602796,0.291601,-0.257213
-0.15568554,0.27736,-0.256114
-0.2239435,0.281339,-0.300146
-0.09152755,0.403002,-0.330679
-0.05336801,0.254669,-0.268865
-0.66301104,0.229414,-0.260814
0.36270286,0.260616,-0.223852
0.697984,0.385081,-0.297762
1.08737098,0.329753,-0.215558
-0.10412666,0.357474,-0.274431
0.57029121,0.333182,-0.298289
0.1888749,0.282402,-0.289223
-0.1340146,0.317636,-0.274997
-1.4223132,0.247842,-0.405928
-0.441735174,0.234959,-0.228997
-0.99372913,0.167233,-0.312326
0.95465585,0.312659,-0.224898
-0.187644259,0.310971,-0.223477
-0.79232225,0.296207,-0.416636
0.5258469,0.333081,-0.233441
-0.82525773,0.339211,-0.277764
-0.02003542,0.198598,-0.31653
0.0665359,0.166373,-0.212506
0.1281616,0.366615,-0.252801
0.19983605,0.304788,-0.316126
0.09431789,0.345333,-0.369778
-0.27409863,0.244963,-0.24936
2.0835143,0.357721,-0.172122
0.8743503,0.359411,-0.266927
0.7762693,0.261762,-0.270849
0.768144083,0.236323,-0.213254
1.19110406,0.267247,-0.233261
-0.3348109,0.257238,-0.279567
0.79796101,0.336959,-0.224732
-1.50752154,0.192245,-0.283547
0.28502894,0.391997,-0.268701
0.728017446,0.267427,-0.27785
1.4706708,0.438924,-0.183411
0.7347627,0.270572,-0.221345
0.8000264,0.353147,-0.330778
-0.19372225,0.316203,-0.228338
0.091309709,0.1995,-0.262312
1.0764947,0.43031,-0.276743
-0.128958246,0.361985,-0.210514
-1.41582134,0.285233,-0.284665
0.0745387,0.222095,-0.403118
0.92117193,0.34618,-0.154372
0.7767386,0.405025,-0.157531
-0.265002719,0.314937,-0.229002
0.452554237,0.316344,-0.322598
0.35387344,0.377042,-0.23356
0.70346972,0.235651,-0.165054
1.0235005,0.328626,-0.365466
0.25658661,0.279811,-0.273022
-0.82867469,0.189658,-0.348192
0.281352876,0.307984,-0.22133
1.0253374,0.292902,-0.254415
1.4526823,0.265185,-0.2983
1.6694294,0.422275,-0.313298
0.3599973,0.288958,-0.272117
-0.36470189,0.281518,-0.250895
-1.47879778,0.275469,-0.401836
1.30934223,0.327156,-0.278763
1.0698354,0.429362,-0.309658
0.469929792,0.354329,-0.360522
0.7341596,0.252235,-0.233367
0.092143,0.310041,-0.371936
0.6492966,0.327697,-0.396042
0.6659881,0.354504,-0.291369
2.0973442626,0.323487,-0.276725
1.448801907,0.317573,-0.180669
0.459956672,0.320411,-0.180063
-0.34573686,0.384435,-0.350496
0.40211544,0.329729,-0.208318
0.01266815,0.271026,-0.282964
0.7694927,0.36527,-0.33055
0.09403278,0.287717,-0.256288
1.9200819,0.268887,-0.284208
1.11474323,0.313838,-0.337225
-1.60649696,0.297312,-0.398978
0.3203045,0.331657,-0.256183
